sample,label,n_windows_before,n_windows_after,mal_windows_before,mal_windows_after,flipped_1_to_0
6251,1,1250,1250,939,939,0
6261,0,299,299,38,38,0
6277,1,184,184,181,181,0
6294,1,1250,1250,941,941,0
6310,1,293,293,48,48,0
6344,1,1224,1224,910,910,0
6388,1,136,136,35,35,0
6456,0,297,297,39,39,0
6476,1,324,324,41,41,0
6597,1,301,301,53,53,0
6670,0,300,300,36,36,0
6752,1,261,261,23,23,0
6763,1,5,5,3,3,0
6775,0,195,195,25,25,0
6781,1,262,262,22,22,0
6809,1,262,262,24,24,0
6825,1,266,266,15,16,0
6837,1,261,261,23,23,0
6864,0,174,174,4,4,0
6982,1,1250,1250,930,930,0
7048,1,261,261,23,23,0
7066,1,14,14,6,6,0
7220,1,279,279,19,19,0
7248,1,261,261,23,23,0
7249,0,198,198,19,19,0
7308,1,261,261,22,22,0
7473,1,463,463,205,205,0
7524,1,412,412,145,145,0
7540,0,373,373,300,300,0
7591,0,301,301,39,39,0
7608,1,288,288,36,36,0
7651,1,279,279,20,20,0
7813,1,432,432,429,429,0
7863,1,294,294,61,61,0
7877,1,26,26,10,13,0
7959,1,273,273,24,24,0
7993,1,1250,1250,936,936,0
8053,1,270,270,23,23,0
8139,1,260,260,21,21,0
8142,1,309,309,306,306,0
8152,0,299,299,40,40,0
8173,1,46,46,36,36,0
8186,1,1136,1136,822,822,0
8264,1,278,278,20,20,0
8355,0,298,298,38,38,0
8440,1,197,197,120,120,0
8458,0,198,198,14,14,0
8486,1,260,260,22,22,0
8535,0,359,359,303,303,0
8538,1,261,261,20,20,0
8554,1,299,299,16,17,0
8578,1,1250,1250,940,940,0
8651,1,278,278,20,20,0
8665,1,1250,1250,938,938,0
8686,1,1250,1250,909,909,0
8700,1,1250,1250,933,933,0
8816,1,1250,1250,928,928,0
8838,1,1250,1250,931,931,0
8850,1,295,295,60,60,0
8861,1,416,416,135,135,0
8958,1,176,176,4,4,0
8966,1,1250,1250,936,936,0
8970,1,371,371,107,107,0
9033,1,1250,1250,946,946,0
9114,0,271,271,19,19,0
9142,1,189,189,16,16,0
9176,1,262,262,23,23,0
9225,1,273,273,17,17,0
9235,1,92,92,0,0,0
9250,1,1250,1250,947,947,0
9331,1,321,321,57,57,0
9339,1,1250,1250,916,916,0
9353,1,1250,1250,931,931,0
9394,1,513,513,5,5,0
9429,1,251,251,244,244,0
9502,0,1250,1250,998,998,0
9532,0,301,301,39,39,0
9571,1,174,174,166,166,0
9609,1,96,96,5,5,0
9621,1,224,224,219,219,0
9646,1,291,291,48,48,0
9680,1,261,261,22,22,0
9699,1,1212,1212,242,242,0
9715,0,296,296,38,38,0
9738,0,298,298,40,40,0
9758,0,297,297,40,40,0
9814,1,1250,1250,952,952,0
9837,1,392,392,150,150,0
9916,1,276,276,17,17,0
9979,1,1250,1250,942,942,0
10026,1,286,286,18,18,0
10033,1,275,275,17,16,1
10044,0,1146,1146,1027,1027,0
10045,1,55,55,43,43,0
10080,1,172,172,169,169,0
10082,1,261,261,22,22,0
10104,0,198,198,19,19,0
10107,1,335,335,19,19,0
10130,1,302,302,45,45,0
10133,1,1250,1250,932,932,0
10137,1,1250,1250,932,932,0
10140,1,280,280,20,20,0
10142,0,1250,1250,1012,1012,0
10232,1,324,324,58,58,0
10258,1,465,465,208,208,0
10260,1,265,265,257,257,0
10342,1,46,46,36,36,0
10395,1,1250,1250,1180,1180,0
10458,1,261,261,23,23,0
10493,1,281,281,17,17,0
10559,1,4,4,0,0,0
10589,1,1250,1250,935,935,0
10648,1,1250,1250,941,941,0
10670,1,261,261,22,22,0
10673,0,329,329,19,19,0
10729,1,262,262,22,22,0
10736,0,297,297,39,39,0
10776,1,176,176,4,4,0
10777,1,1250,1250,931,931,0
10807,1,216,216,202,202,0
10810,0,299,299,37,37,0
10836,1,199,199,20,20,0
10854,0,255,255,19,19,0
10958,1,261,261,23,23,0
11013,1,262,262,22,22,0
11047,1,174,174,0,0,0
11128,1,261,261,22,22,0
11133,1,1250,1250,935,935,0
11162,1,260,260,22,22,0
11252,0,180,180,7,7,0
11277,1,1250,1250,937,937,0
11287,1,174,174,164,164,0
11307,1,301,301,289,289,0
11324,0,1250,1250,1041,1041,0
11333,1,250,250,240,240,0
11341,1,321,321,62,62,0
11351,1,194,194,14,14,0
11362,1,186,186,12,12,0
11364,1,276,276,20,20,0
11419,1,301,301,289,289,0
11478,0,192,192,184,184,0
11496,0,279,279,20,20,0
11527,1,183,183,6,6,0
11565,1,1250,1250,932,932,0
11640,0,299,299,37,37,0
11663,0,275,275,17,17,0
11682,1,1250,1250,930,930,0
11685,0,297,297,37,37,0
11692,1,172,172,169,169,0
11850,1,210,210,199,199,0
11856,1,135,135,42,42,0
11915,0,240,240,18,18,0
11922,0,196,196,22,22,0
11954,0,272,272,23,23,0
11955,1,269,269,31,31,0
11957,0,287,287,25,25,0
11958,1,321,321,66,66,0
11972,1,214,214,37,37,0
11977,0,196,196,22,22,0
12047,0,196,196,22,22,0
12072,1,313,313,23,23,0
12093,0,630,630,414,414,0
12119,0,196,196,22,22,0
12204,0,196,196,22,22,0
12259,0,196,196,22,22,0
12260,0,127,127,36,36,0
12319,0,103,103,11,11,0
12361,1,178,178,26,26,0
12385,1,135,135,40,40,0
12411,0,196,196,22,22,0
12470,1,253,253,80,80,0
12477,1,137,137,43,43,0
12494,0,196,196,22,22,0
12515,0,196,196,22,22,0
12584,0,92,92,0,0,0
12629,1,265,265,94,94,0
12632,0,196,196,22,22,0
12723,0,259,259,24,24,0
12745,0,5,5,2,2,0
12749,0,196,196,22,22,0
12773,0,301,301,41,41,0
12789,0,196,196,22,22,0
12815,0,196,196,22,22,0
12840,0,101,101,9,9,0
12916,1,213,213,41,41,0
12959,0,196,196,22,22,0
12971,1,101,101,9,9,0
12991,1,226,226,48,48,0
13011,1,33,33,31,30,1
13016,1,236,236,44,44,0
13028,0,196,196,22,22,0
13041,0,104,104,11,11,0
13052,0,104,104,12,12,0
13081,1,687,687,391,391,0
13083,0,196,196,22,22,0
13094,1,288,288,25,25,0
13124,1,137,137,44,44,0
13140,1,8,8,5,5,0
13154,1,373,373,108,108,0
13162,1,1250,1250,843,843,0
13191,1,288,288,25,25,0
13247,0,246,246,29,29,0
13308,0,284,284,48,48,0
13335,0,196,196,22,22,0
13392,0,196,196,22,22,0
13432,0,183,183,23,23,0
13447,0,196,196,22,22,0
13504,1,288,288,25,25,0
13517,0,196,196,22,22,0
13586,1,957,957,526,526,0
13592,0,448,448,166,166,0
13596,1,666,666,363,363,0
13608,0,196,196,22,22,0
13649,0,196,196,22,22,0
13651,0,102,102,9,9,0
13657,0,97,97,5,5,0
13661,0,196,196,22,22,0
13666,0,181,181,22,22,0
13709,0,196,196,22,22,0
13715,1,223,223,37,37,0
13725,0,196,196,22,22,0
13756,1,26,26,6,6,0
13790,1,1250,1250,975,975,0
13856,0,196,196,22,22,0
13877,0,91,91,0,0,0
13883,1,288,288,25,25,0
13904,0,1250,1250,6,6,0
13935,0,451,451,168,168,0
13937,0,193,193,25,25,0
13974,0,196,196,22,22,0
14014,0,114,114,20,20,0
14015,0,1,1,0,0,0
14024,1,236,236,42,42,0
14028,0,196,196,22,22,0
14047,0,196,196,22,22,0
14057,1,1078,1078,515,515,0
14064,0,196,196,22,22,0
14071,0,196,196,22,22,0
14075,1,221,221,48,48,0
14090,1,260,260,19,19,0
14137,0,196,196,22,22,0
14167,0,196,196,22,22,0
14172,0,196,196,22,22,0
14199,0,196,196,22,22,0
14215,0,302,302,41,41,0
14229,1,96,96,5,5,0
14242,0,196,196,22,22,0
14297,0,1,1,0,0,0
14301,1,1250,1250,729,729,0
14321,1,727,727,420,420,0
14336,0,196,196,22,22,0
14460,0,196,196,22,22,0
14487,0,101,101,9,9,0
14523,1,4,4,0,0,0
14598,0,93,93,0,0,0
14665,0,93,93,90,90,0
14675,0,284,284,29,29,0
14735,1,877,877,485,485,0
14756,0,174,174,23,23,0
14807,0,176,176,24,24,0
14813,0,90,90,86,86,0
14824,1,350,350,81,81,0
14834,1,227,227,47,47,0
14850,0,195,195,23,23,0
14909,1,226,226,48,48,0
14948,1,141,141,42,42,0
14968,0,196,196,22,22,0
15004,1,242,242,74,74,0
15019,1,349,349,71,71,0
15026,0,196,196,22,22,0
15048,0,196,196,22,22,0
15085,0,196,196,22,22,0
15087,0,196,196,22,22,0
15108,0,196,196,22,22,0
15241,1,328,328,46,46,0
15292,0,196,196,22,22,0
15315,1,272,272,19,19,0
15346,0,127,127,36,36,0
15364,0,32,32,27,27,0
15367,1,963,963,386,386,0
15430,0,196,196,22,22,0
15473,1,245,245,64,64,0
15477,1,286,286,73,73,0
15524,1,359,359,97,97,0
15533,0,196,196,22,22,0
15544,0,206,206,37,37,0
15558,0,196,196,23,23,0
15600,1,94,94,1,1,0
15623,1,211,211,40,40,0
15625,0,196,196,23,23,0
15699,0,103,103,4,4,0
15743,1,276,276,20,20,0
15803,1,261,261,26,26,0
15805,1,807,807,577,577,0
15807,1,288,288,25,25,0
15816,1,275,275,20,20,0
15817,0,93,93,0,0,0
15908,0,175,175,4,4,0
15931,0,89,89,85,85,0
15966,0,10,10,4,4,0
15969,0,450,450,166,166,0
15981,0,109,109,1,1,0
16091,1,185,185,9,9,0
16097,0,193,193,23,23,0
16111,0,196,196,22,22,0
16121,1,1062,1062,501,501,0
16122,0,93,93,0,0,0
16130,1,282,282,23,23,0
16193,1,186,186,10,10,0
16239,0,93,93,0,0,0
16244,1,662,662,483,483,0
16279,1,102,102,6,6,0
16294,0,196,196,22,22,0
16315,0,182,182,24,24,0
16368,0,196,196,22,22,0
16375,1,341,341,72,72,0
16501,0,301,301,43,43,0
16535,1,241,241,75,75,0
16549,1,117,117,14,14,0
16556,1,264,264,96,96,0
16623,1,98,98,6,6,0
16643,0,196,196,22,22,0
16648,0,92,92,0,0,0
16654,0,196,196,22,22,0
16706,1,1250,1250,1001,1001,0
16718,0,182,182,6,6,0
16746,1,235,235,23,23,0
16757,0,196,196,22,22,0
16814,1,292,292,51,51,0
16817,0,101,101,9,9,0
16841,0,196,196,22,22,0
16865,0,271,271,17,17,0
16924,0,196,196,22,22,0
16938,0,196,196,22,22,0
16966,1,664,664,361,361,0
16999,0,254,254,21,21,0
17044,0,181,181,7,7,0
17058,1,751,751,446,446,0
17062,0,196,196,22,22,0
17079,0,196,196,22,22,0
17130,1,146,146,42,42,0
17144,0,196,196,22,22,0
17160,1,328,328,133,133,0
17201,0,196,196,22,22,0
17232,0,178,178,26,26,0
17258,1,321,321,70,70,0
17277,0,196,196,22,22,0
17289,0,196,196,22,22,0
17309,0,196,196,22,22,0
17410,1,304,304,59,59,0
17419,1,211,211,53,53,0
17442,0,196,196,22,22,0
17458,0,97,97,5,5,0
17542,0,288,288,25,25,0
17587,1,537,537,200,200,0
17597,0,196,196,22,22,0
17602,1,217,217,43,43,0
17648,1,286,286,26,26,0
17774,0,196,196,22,22,0
17794,0,196,196,22,22,0
17804,1,96,96,0,0,0
17835,1,294,294,81,81,0
17845,0,93,93,0,0,0
17850,0,196,196,22,22,0
17897,0,455,455,174,174,0
17901,1,226,226,47,47,0
17916,1,136,136,42,42,0
17919,1,1250,1250,1001,1001,0
17965,1,93,93,0,0,0
18004,1,176,176,6,6,0
18005,1,288,288,25,25,0
18009,0,196,196,22,22,0
18021,0,196,196,22,22,0
18090,1,226,226,48,48,0
18107,1,947,947,440,440,0
18129,1,288,288,27,27,0
18138,1,371,371,101,101,0
18159,0,226,226,53,53,0
18179,0,196,196,22,22,0
18217,0,196,196,22,22,0
18242,1,1250,1250,1002,1002,0
18262,0,196,196,22,22,0
18263,1,172,172,0,0,0
18278,0,196,196,22,22,0
18373,1,306,306,47,47,0
18383,0,303,303,59,59,0
18388,1,138,138,46,46,0
18462,1,104,104,10,10,0
18481,0,196,196,22,22,0
18482,0,182,182,16,16,0
18518,0,191,191,22,22,0
18533,0,196,196,22,22,0
18628,1,226,226,47,47,0
18656,0,196,196,22,22,0
18685,1,226,226,48,48,0
18696,0,131,131,38,38,0
18765,1,198,198,8,8,0
18794,1,225,225,39,39,0
18799,0,184,184,18,18,0
18839,1,624,624,91,91,0
18844,1,216,216,63,63,0
18853,1,1250,1250,1002,1002,0
18905,1,1250,1250,1003,1003,0
18915,0,196,196,22,22,0
18920,1,4,4,0,0,0
18994,1,389,389,136,136,0
19073,0,632,632,410,410,0
19075,1,293,293,29,29,0
19103,0,71,71,7,7,0
19110,0,32,32,27,27,0
19114,0,196,196,22,22,0
19131,0,212,212,43,43,0
19209,1,286,286,25,25,0
19301,0,196,196,22,22,0
19317,1,363,363,23,23,0
19322,0,196,196,22,22,0
19329,0,196,196,22,22,0
19352,0,280,280,23,23,0
19364,0,182,182,8,8,0
19379,0,180,180,106,106,0
19392,1,180,180,4,4,0
19419,1,131,131,33,33,0
19438,0,90,90,86,86,0
19453,0,196,196,22,22,0
19455,0,196,196,22,22,0
19471,0,302,302,42,42,0
19488,0,196,196,22,22,0
19496,0,196,196,22,22,0
19507,0,196,196,22,22,0
19524,1,288,288,25,25,0
19536,0,196,196,22,22,0
19541,0,196,196,21,21,0
19554,1,96,96,0,0,0
19567,1,289,289,25,25,0
19583,1,1007,1007,488,488,0
19621,1,164,164,41,41,0
19649,1,305,305,60,60,0
19669,1,288,288,25,25,0
19682,0,196,196,22,22,0
19728,0,196,196,22,22,0
19743,0,196,196,22,22,0
19816,0,6,6,2,2,0
19817,1,209,209,28,28,0
19887,0,52,52,42,42,0
19889,1,288,288,25,25,0
19906,0,196,196,22,22,0
19944,0,284,284,48,48,0
19948,1,303,303,60,60,0
19975,0,196,196,22,22,0
20077,0,196,196,22,22,0
20113,1,369,369,94,94,0
20156,0,93,93,0,0,0
20169,1,95,95,2,2,0
20170,1,217,217,43,43,0
20204,0,42,42,38,38,0
20207,1,122,122,28,28,0
20214,1,233,233,41,41,0
20226,0,196,196,22,22,0
20234,0,196,196,22,22,0
20277,0,196,196,22,22,0
20321,1,526,526,357,357,0
20324,1,97,97,5,5,0
20379,0,32,32,27,27,0
20402,1,329,329,46,46,0
20417,0,5,5,1,1,0
20458,1,121,121,21,21,0
20477,0,234,234,65,65,0
20550,1,288,288,29,29,0
20653,0,6,6,2,2,0
20662,1,227,227,45,45,0
20676,0,8,8,4,4,0
20697,0,196,196,22,22,0
20755,0,196,196,22,22,0
20771,0,196,196,22,22,0
20806,0,92,92,0,0,0
20824,0,196,196,22,22,0
20857,0,96,96,6,6,0
20874,0,93,93,0,0,0
20895,1,221,221,40,40,0
20897,1,303,303,59,59,0
20999,1,226,226,48,48,0
21032,1,147,147,48,48,0
21062,1,285,285,24,24,0
21119,0,348,348,82,82,0
21123,0,196,196,22,22,0
21160,1,350,350,82,82,0
21167,0,196,196,22,22,0
21173,1,360,360,83,83,0
21175,0,196,196,22,22,0
21181,1,335,335,72,72,0
21187,0,301,301,42,42,0
21241,0,102,102,10,10,0
21273,1,180,180,6,6,0
21286,0,124,124,28,28,0
21303,0,304,304,24,24,0
21373,1,48,48,36,36,0
21421,0,196,196,22,22,0
21423,0,172,172,21,21,0
21466,0,196,196,22,22,0
21506,0,196,196,22,22,0
21547,1,332,332,237,237,0
21602,0,196,196,22,22,0
21669,0,196,196,22,22,0
21686,1,263,263,28,28,0
21715,0,6,6,2,2,0
21807,1,97,97,33,36,0
21827,1,288,288,25,25,0
21830,0,5,5,3,3,0
21837,1,318,318,64,64,0
21905,0,196,196,22,22,0
21907,1,128,128,36,36,0
21913,1,279,279,24,24,0
21992,0,196,196,22,22,0
22031,0,190,190,28,28,0
22046,1,93,93,0,0,0
22054,0,13,13,9,9,0
22057,1,218,218,24,24,0
22089,0,96,96,4,4,0
22102,0,196,196,22,22,0
22127,1,383,383,201,201,0
22165,0,196,196,22,22,0
22210,0,196,196,22,22,0
22220,0,177,177,5,5,0
22228,0,183,183,25,25,0
22293,0,196,196,22,22,0
22466,0,196,196,22,22,0
22493,1,288,288,25,25,0
22548,1,735,735,420,420,0
22552,1,374,374,85,85,0
22576,0,101,101,9,9,0
22616,1,316,316,44,44,0
22665,0,196,196,22,22,0
22691,0,277,277,20,20,0
22712,1,288,288,25,25,0
22718,1,137,137,43,43,0
22720,0,196,196,22,22,0
22739,0,196,196,22,22,0
22784,1,268,268,27,27,0
22785,0,196,196,22,22,0
22797,1,137,137,43,43,0
22806,1,287,287,25,25,0
22836,1,1250,1250,1160,1160,0
22864,0,9,9,6,6,0
22872,0,183,183,22,22,0
22874,0,196,196,22,22,0
22879,1,354,354,85,85,0
23052,1,334,334,67,67,0
23105,0,196,196,22,22,0
23126,0,196,196,22,22,0
23166,1,1250,1250,1001,1001,0
23178,1,288,288,25,25,0
23190,0,196,196,22,22,0
23197,1,284,284,23,23,0
23199,0,196,196,22,22,0
23201,0,89,89,86,86,0
23270,0,32,32,27,27,0
23286,1,4,4,0,0,0
23294,1,288,288,25,25,0
23313,0,285,285,25,25,0
23334,1,763,763,442,442,0
23337,0,196,196,22,22,0
23366,1,137,137,43,43,0
23369,1,98,98,7,7,0
23381,1,288,288,25,25,0
23389,0,1,1,0,0,0
23401,1,314,314,69,69,0
23410,0,196,196,22,22,0
23438,1,258,258,22,22,0
23482,1,243,243,142,142,0
23513,0,196,196,22,22,0
23515,0,196,196,22,22,0
23602,0,32,32,27,27,0
23641,0,196,196,22,22,0
23676,0,196,196,22,22,0
23683,0,196,196,22,22,0
23698,0,196,196,22,22,0
23711,1,104,104,98,98,0
23712,0,196,196,22,22,0
23738,1,91,91,19,19,0
23752,1,302,302,59,59,0
23773,1,176,176,0,0,0
23789,1,96,96,4,4,0
23825,0,196,196,22,22,0
23847,0,196,196,22,22,0
23878,1,224,224,45,45,0
23892,1,99,99,7,7,0
23963,0,196,196,22,22,0
23966,1,152,152,40,40,0
23967,1,190,190,9,9,0
24005,0,196,196,22,22,0
24033,0,32,32,27,27,0
24036,0,100,100,8,8,0
24079,1,343,343,66,66,0
24137,0,196,196,22,22,0
24161,1,204,204,30,30,0
24191,1,226,226,47,47,0
24197,1,324,324,37,37,0
24217,1,566,566,226,226,0
24218,0,6,6,2,2,0
24335,1,140,140,48,48,0
24370,0,196,196,22,22,0
24394,1,302,302,57,57,0
24433,0,196,196,22,22,0
24452,1,988,988,791,791,0
24483,0,196,196,22,22,0
24559,1,201,201,24,24,0
24560,0,196,196,22,22,0
24569,1,215,215,45,45,0
24582,0,196,196,22,22,0
24620,0,196,196,22,22,0
24621,0,319,319,52,52,0
24626,0,6,6,2,2,0
24649,0,301,301,41,41,0
24684,1,381,381,124,124,0
24831,0,196,196,22,22,0
24863,0,196,196,22,22,0
24872,0,196,196,22,22,0
24887,0,196,196,22,22,0
24891,1,288,288,31,31,0
24918,0,184,184,22,22,0
24931,0,172,172,21,21,0
24944,1,278,278,41,41,0
24953,1,334,334,74,74,0
24957,0,196,196,22,22,0
24970,1,141,141,42,42,0
24984,0,196,196,22,22,0
25005,1,100,100,9,9,0
25016,0,6,6,2,2,0
25029,1,288,288,25,25,0
25105,1,226,226,47,47,0
25111,0,9,9,6,6,0
25134,0,196,196,22,22,0
25159,1,789,789,481,481,0
25188,1,831,831,539,539,0
25226,1,434,434,175,175,0
25294,0,347,347,114,114,0
25370,0,196,196,22,22,0
25375,1,98,98,5,5,0
25429,1,255,255,83,83,0
25438,1,1088,1088,600,600,0
25473,1,291,291,24,24,0
25495,0,182,182,23,23,0
25512,1,434,434,134,134,0
25516,0,100,100,9,9,0
25543,1,1250,1250,1002,1002,0
25628,0,196,196,22,22,0
25693,0,196,196,22,22,0
25718,0,23,23,18,18,0
25758,0,196,196,22,22,0
25798,1,288,288,25,25,0
25799,0,196,196,22,22,0
25811,1,1211,1211,726,726,0
25862,1,559,559,233,233,0
25908,0,196,196,22,22,0
25910,0,191,191,30,30,0
25923,0,93,93,0,0,0
25979,0,196,196,22,22,0
25989,1,307,307,57,57,0
26049,0,196,196,22,22,0
26113,1,141,141,49,49,0
26181,0,29,29,26,26,0
26190,0,187,187,9,9,0
26196,0,1250,1250,1079,1079,0
26201,0,196,196,22,22,0
26234,0,196,196,22,22,0
26238,1,1250,1250,1099,1099,0
26328,1,321,321,66,66,0
26384,1,46,46,35,35,0
26428,0,99,99,7,7,0
26447,1,410,410,126,126,0
26498,1,327,327,63,63,0
26508,1,93,93,2,2,0
26519,0,196,196,22,22,0
26532,0,23,23,21,21,0
26661,0,196,196,22,22,0
26677,1,194,194,6,6,0
26682,1,304,304,60,60,0
26683,1,727,727,418,418,0
26729,1,1030,1030,669,669,0
26859,1,512,512,242,242,0
26920,0,196,196,22,22,0
26936,1,288,288,25,25,0
26952,1,198,198,30,30,0
27047,1,10,10,6,6,0
27076,1,639,639,359,359,0
27121,0,302,302,42,42,0
27160,0,287,287,25,25,0
27213,1,221,221,47,47,0
27227,0,196,196,22,22,0
27278,1,223,223,43,43,0
27297,0,196,196,22,22,0
27319,1,333,333,82,82,0
27321,0,304,304,60,60,0
27347,1,286,286,191,191,0
27373,0,196,196,22,22,0
27376,1,1250,1250,416,416,0
27463,0,196,196,22,22,0
27557,0,196,196,22,22,0
27684,1,116,116,108,108,0
27757,0,196,196,22,22,0
27848,0,196,196,22,22,0
27864,0,255,255,18,18,0
27887,0,196,196,22,22,0
27888,1,26,26,6,6,0
27917,1,56,56,47,47,0
27929,1,276,276,20,20,0
27933,0,196,196,22,22,0
27937,0,196,196,22,22,0
27945,1,218,218,42,42,0
27982,0,98,98,8,8,0
27994,1,8,8,5,5,0
28082,1,307,307,48,48,0
28091,0,196,196,22,22,0
28120,1,225,225,44,44,0
28166,0,196,196,22,22,0
28195,0,93,93,0,0,0
28203,1,288,288,25,25,0
28275,1,103,103,6,6,0
28280,0,261,261,23,23,0
28472,0,288,288,25,25,0
28493,1,131,131,38,38,0
28522,1,226,226,48,48,0
28523,0,107,107,7,7,0
28576,1,314,314,57,57,0
28610,1,93,93,0,0,0
28613,0,196,196,22,22,0
28654,1,274,274,22,22,0
28657,1,180,180,6,6,0
28662,1,97,97,6,6,0
28682,1,426,426,162,162,0
28699,0,302,302,41,41,0
28777,0,182,182,8,8,0
28787,0,97,97,5,5,0
28810,0,196,196,22,22,0
28821,0,1250,1250,1079,1079,0
28832,0,196,196,22,22,0
28836,0,182,182,21,21,0
28837,0,196,196,22,22,0
28849,0,19,19,16,16,0
28854,0,302,302,41,41,0
28871,0,111,111,20,20,0
28886,1,99,99,7,7,0
28896,0,1250,1250,6,6,0
28944,1,208,208,23,23,0
28980,1,517,517,243,243,0
28984,1,362,362,90,90,0
29025,0,95,95,4,4,0
29028,1,467,467,194,194,0
29033,0,196,196,22,22,0
